"id","ak1","ak2","exp","cou","di1","di2","emo","wo1","poi","rbe","rhy","sso","tel","wo3","wo2","un1","un2","tur","st","age","gr1","gr2","mh1","mh2","bor","sex","rtc","ssc","owp","onp","nch","em1","em2","pan"
12046,0,0,4,3,0,0,3,0,0,4,2,4,1,0,0,0,0,1,4,3,5,6,3,2,3,2,4,4,3,4,2,5,1,3
12052,0,0,1,4,0,0,1,0,0,5,3,5,0,0,0,1,0,2,4,3,5,3,5,5,1,2,2,4,NA,4,1,4,1,3
12053,1,1,NA,NA,0,0,NA,0,1,NA,NA,NA,1,1,1,0,1,NA,5,2,7,7,2,2,1,1,4,4,NA,NA,1,1,1,3
12060,0,0,1,2,0,0,4,0,0,2,4,2,0,0,0,0,0,2,4,3,5,3,2,2,1,1,2,3,4,5,1,1,1,3
12062,0,0,1,1,0,0,2,0,0,2,2,2,0,0,0,0,0,2,2,4,5,5,2,2,3,2,4,4,2,2,3,5,1,3
12064,0,0,1,3,0,0,2,0,0,1,4,2,0,0,0,0,0,2,1,3,9,9,2,2,4,1,4,2,5,5,3,5,1,3
12065,0,0,1,4,0,0,3,1,0,3,4,3,0,0,0,0,0,3,1,3,5,5,1,1,5,1,1,2,5,5,4,1,5,3
12067,0,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,2,1,7,4,3,3,1,2,4,4,NA,NA,1,1,1,3
12068,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,5,2,7,3,1,1,1,2,2,2,NA,NA,1,1,1,3
12073,0,0,1,1,0,0,2,0,0,1,1,1,0,0,0,0,0,2,3,5,3,NA,2,NA,4,2,3,3,3,2,3,1,NA,3
12076,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,1,1,7,6,2,2,1,2,4,4,NA,NA,1,1,1,3
12082,0,0,1,2,0,0,2,0,0,4,4,5,1,0,0,0,0,3,2,4,6,7,3,4,1,1,4,4,5,5,1,1,1,3
12085,0,0,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,2,2,3,3,3,2,1,2,1,1,2,3,5,2,1,1,3
12094,1,1,NA,NA,0,1,NA,0,1,NA,NA,NA,1,1,1,0,1,NA,1,1,7,7,2,3,3,2,2,3,NA,NA,2,1,1,3
12095,0,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,4,2,8,8,1,2,1,1,4,4,NA,NA,1,1,1,3
12098,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,3,2,3,NA,3,NA,1,1,4,4,NA,NA,1,4,NA,3
12102,0,0,2,4,0,0,4,0,0,5,3,4,1,0,1,0,0,4,5,3,7,7,1,1,1,2,3,4,4,4,1,2,1,3
12103,1,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,3,1,3,3,3,2,3,2,2,3,NA,NA,2,4,1,2
12109,0,0,1,1,0,0,2,0,0,1,1,1,0,0,0,0,0,2,3,4,5,8,2,2,1,2,2,2,3,3,1,1,1,3
12112,0,0,2,3,0,0,2,0,0,2,2,2,0,0,0,0,0,2,3,4,7,3,1,3,1,1,2,3,3,3,1,4,1,3
12115,0,0,1,1,0,0,2,0,0,2,1,2,0,0,0,0,0,2,3,4,5,8,NA,2,3,2,4,4,4,5,2,6,6,4
12123,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,1,2,4,3,4,4,1,1,2,4,NA,NA,1,1,1,3
12129,0,0,3,3,0,0,2,0,0,5,4,5,0,0,0,0,0,2,2,3,6,3,1,1,4,1,2,2,2,2,3,1,1,3
12135,0,0,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,1,1,3,5,NA,2,NA,3,2,4,4,5,5,2,5,NA,3
12136,0,0,1,3,0,0,2,0,0,3,2,1,0,0,0,0,0,2,2,3,7,8,1,1,3,1,4,4,3,4,2,1,1,2
12141,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,1,NA,1,2,8,6,1,1,3,1,4,4,NA,NA,2,1,1,3
12144,1,1,NA,NA,0,1,NA,0,1,NA,NA,NA,1,1,1,0,0,NA,1,1,9,9,2,3,1,1,4,4,NA,NA,1,1,1,3
